ano_idx,exp_subspace
40,"[0, 6]"
41,"[3, 6, 7, 8]"
42,"[2, 4, 7, 8]"
43,"[3, 4, 8, 9]"
44,"[2, 4, 5]"
45,"[1, 3, 6]"
46,"[6, 9]"
47,"[6, 8]"
48,"[0, 6]"
49,"[1, 6, 9]"
50,"[3, 8, 9]"
51,"[0, 6]"
52,"[0, 6]"
53,"[1, 3, 5, 6]"
54,"[1, 3, 4, 5, 6]"
55,"[1, 2, 3, 5, 6, 8, 9]"
56,"[1, 3, 4, 6, 7, 8, 9]"
57,"[0, 1, 6, 8, 9]"
58,"[0, 6]"
59,"[0, 6]"
60,"[1, 3, 5, 8, 9]"
61,"[0, 6]"
62,"[0, 6]"
63,"[0, 6]"
64,"[0, 6]"
65,"[0, 6]"
66,"[0, 6]"
67,"[0, 6]"
68,"[1, 3, 8, 9]"
69,"[0, 6]"
70,"[3, 6]"
71,"[2, 5, 9]"
72,"[1, 2, 3, 4, 5]"
73,"[3, 6]"
74,"[0, 6]"
75,"[1, 3]"
76,"[1, 7]"
77,"[1, 3]"
78,"[1, 4, 6]"
79,"[1, 3, 8, 9]"
252,"[0, 6]"
253,"[1, 4, 5, 6, 9]"
254,"[0, 6]"
255,"[3, 4, 5, 6, 7, 9]"
256,"[2, 4, 7, 8]"
257,"[0, 6]"
258,"[0, 6]"
259,"[1, 3, 5, 7, 8]"
260,"[6, 9]"
261,"[0, 6]"
262,"[0, 6]"
263,"[1, 2, 8]"
264,"[3, 6, 8]"
265,"[1, 6, 8, 9]"
266,"[0, 4]"
