ano_idx,exp_subspace
40,"[1, 2, 4, 6]"
41,"[1, 7]"
42,"[2, 3, 4, 7, 8]"
43,"[2, 3, 8, 9]"
44,"[2, 5]"
45,[6]
46,"[0, 4, 6, 7, 9]"
47,"[1, 2, 4, 6, 8]"
48,[0]
49,"[4, 9]"
50,"[2, 3, 8]"
51,[0]
52,[0]
53,"[0, 1, 3, 6]"
54,"[1, 2, 4, 5, 6]"
55,"[1, 2]"
56,"[1, 4, 8, 9]"
57,"[0, 1, 4, 9]"
58,[0]
59,[0]
60,"[0, 1, 2, 8, 9]"
61,[0]
62,"[1, 2, 4, 6]"
63,[0]
64,[0]
65,[0]
66,"[1, 2, 4, 6]"
67,[0]
68,[1]
69,[0]
70,[6]
71,"[1, 2, 3, 5, 9]"
72,"[1, 2, 3, 4, 8, 9]"
73,[3]
74,[0]
75,"[1, 3]"
76,[1]
77,"[0, 1, 3, 8, 9]"
78,[1]
79,[1]
252,[0]
253,"[1, 2, 4, 6]"
254,[0]
255,"[2, 4, 7, 9]"
256,"[2, 3, 4, 7, 8]"
257,[0]
258,[0]
259,"[1, 8]"
260,"[6, 8, 9]"
261,[0]
262,[0]
263,"[2, 7]"
264,"[2, 3, 4, 6, 7, 9]"
265,"[0, 1, 2, 8, 9]"
266,[0]
