ano_idx,exp_subspace
40,"[0, 6]"
41,"[0, 3, 7]"
42,"[0, 2, 8]"
43,"[0, 8]"
44,"[0, 1, 2, 4, 5]"
45,"[0, 1, 6]"
46,"[0, 2, 3, 4, 6, 7, 8, 9]"
47,"[0, 1, 3, 6, 8]"
48,[0]
49,"[0, 9]"
50,"[0, 3, 6, 7, 8]"
51,[0]
52,[0]
53,"[0, 6, 8]"
54,"[1, 2, 4, 5, 6]"
55,"[0, 1, 2, 3, 9]"
56,"[0, 2, 4, 5, 7, 8]"
57,"[0, 1, 2, 3, 4, 9]"
58,[0]
59,[0]
60,"[0, 1, 2, 8, 9]"
61,[0]
62,"[0, 6]"
63,[0]
64,[0]
65,[0]
66,"[0, 6]"
67,[0]
68,"[0, 1, 3]"
69,[0]
70,"[0, 6, 8]"
71,"[0, 1, 5]"
72,"[1, 2, 4, 5, 9]"
73,"[1, 3]"
74,[0]
75,"[0, 1, 3, 4]"
76,"[1, 2]"
77,"[1, 3]"
78,"[1, 4, 6]"
79,"[0, 1, 3]"
252,[0]
253,"[1, 2, 4, 6, 8]"
254,[0]
255,"[0, 2, 3, 6, 9]"
256,"[0, 2, 8]"
257,[0]
258,[0]
259,"[0, 1, 8]"
260,"[2, 3, 6, 8, 9]"
261,[0]
262,[0]
263,"[1, 2, 7, 8]"
264,"[3, 4, 9]"
265,"[2, 8, 9]"
266,[0]
