ano_idx,exp_subspace
0,"[6, 9]"
4,[9]
5,"[1, 7]"
10,"[1, 7]"
26,"[3, 4, 5, 9]"
34,"[1, 3, 5, 6]"
45,"[3, 4, 9]"
46,"[6, 9]"
60,"[2, 3]"
61,"[3, 5]"
76,"[1, 5, 8, 9]"
83,"[0, 1]"
85,[1]
87,"[3, 4, 6]"
88,"[1, 6]"
89,"[2, 8]"
91,"[4, 5, 9]"
93,"[0, 1, 3, 9]"
100,"[3, 7, 9]"
105,"[8, 9]"
141,[5]
168,"[2, 3, 9]"
169,[6]
174,"[1, 3, 9]"
183,"[1, 3, 6, 9]"
185,[6]
188,"[2, 3, 4]"
189,"[0, 7]"
204,"[1, 5, 8]"
207,"[1, 2, 6, 9]"
214,[6]
217,[3]
218,"[0, 1, 5, 9]"
225,"[0, 1, 5, 7]"
231,[6]
243,"[3, 8]"
248,"[0, 3, 6, 9]"
251,"[6, 9]"
252,"[0, 5, 9]"
253,"[0, 5]"
257,"[1, 5, 8, 9]"
258,"[3, 7, 9]"
285,"[0, 5]"
300,"[3, 4, 6]"
303,"[0, 5, 9]"
309,"[1, 3, 7]"
316,"[3, 5, 6]"
320,"[2, 3, 5]"
327,"[0, 9]"
348,"[1, 5, 8]"
356,"[0, 5]"
361,"[0, 1, 5, 7]"
370,"[2, 3]"
374,"[2, 5]"
376,"[0, 7]"
381,"[1, 5, 8]"
387,"[3, 6, 8]"
388,[2]
395,"[0, 1]"
398,"[0, 5]"
401,"[3, 4, 6]"
403,"[0, 9]"
410,[6]
420,"[3, 4]"
424,"[1, 7]"
433,"[0, 3, 5]"
