ano_idx,exp_subspace
0,[9]
4,[9]
5,"[1, 6, 9]"
10,[1]
26,[9]
34,[2]
45,[4]
46,[6]
60,[2]
61,[1]
76,"[1, 5, 7]"
83,[1]
85,[1]
87,[3]
88,[1]
89,[2]
91,[4]
93,[2]
100,[2]
105,[9]
141,[5]
168,[2]
169,[5]
174,"[1, 3]"
183,"[1, 5, 6, 8]"
185,[7]
188,[4]
189,[2]
204,[1]
207,[2]
214,[6]
217,"[1, 3]"
218,"[0, 1, 5]"
225,[7]
231,[7]
243,"[1, 3]"
248,[7]
251,[7]
252,[0]
253,"[0, 5]"
257,[9]
258,[3]
285,[5]
300,"[3, 4, 6]"
303,"[5, 8, 9]"
309,[3]
316,[2]
320,[2]
327,[0]
348,[2]
356,"[0, 3, 5, 7]"
361,"[0, 1, 5, 6]"
370,"[2, 3, 5]"
374,"[1, 4, 5, 6]"
376,"[0, 7]"
381,"[1, 5]"
387,[8]
388,[2]
395,[1]
398,"[0, 5]"
401,"[3, 4, 6]"
403,[2]
410,"[1, 5, 6]"
420,[3]
424,[2]
433,"[0, 3, 4, 5]"
