ano_idx,exp_subspace
0,"[0, 9]"
4,[9]
5,"[1, 7, 9]"
10,[1]
26,"[0, 9]"
34,"[5, 8]"
45,[4]
46,[8]
60,[2]
61,[1]
76,[9]
83,"[1, 2]"
85,"[1, 5]"
87,"[3, 8]"
88,"[1, 3, 6]"
89,"[2, 6, 8]"
91,[4]
93,"[4, 9]"
100,"[1, 7, 8, 9]"
105,"[8, 9]"
141,[5]
168,"[2, 6]"
169,"[5, 8]"
174,"[1, 3]"
183,"[2, 5, 8]"
185,"[1, 6, 7]"
188,"[2, 3]"
189,"[0, 2, 3, 4, 5]"
204,"[1, 5, 9]"
207,[2]
214,"[2, 6]"
217,"[3, 7]"
218,"[0, 1, 5, 9]"
225,"[1, 7]"
231,"[1, 4, 5, 7]"
243,"[1, 3]"
248,"[2, 9]"
251,"[1, 7, 8, 9]"
252,[0]
253,"[0, 5]"
257,[8]
258,[3]
285,"[0, 4, 5]"
300,"[3, 8]"
303,"[0, 5, 8, 9]"
309,[3]
316,"[2, 3, 5]"
320,[2]
327,"[0, 8]"
348,[2]
356,"[0, 5]"
361,"[0, 1, 5, 9]"
370,"[1, 2, 3, 5]"
374,"[0, 1, 6]"
376,"[0, 4]"
381,"[1, 5]"
387,"[3, 8]"
388,[2]
395,"[1, 2, 3, 4, 6]"
398,"[0, 5]"
401,"[6, 8]"
403,"[0, 2, 9]"
410,"[1, 6, 7]"
420,"[2, 3]"
424,"[2, 4, 6, 8]"
433,"[0, 4]"
