ano_idx,exp_subspace
1,"[2, 5, 9]"
3,"[2, 3, 6, 7, 8]"
5,"[0, 2, 3, 8]"
7,"[2, 3, 8]"
9,"[0, 1, 3, 6]"
11,"[0, 8]"
13,"[0, 2, 5, 6, 7, 8]"
15,"[2, 5, 6, 7, 8, 9]"
17,[9]
19,"[5, 8]"
21,"[0, 3, 4]"
23,"[4, 7, 9]"
25,"[0, 1, 2, 4, 5, 7]"
27,"[2, 3, 6, 7, 8]"
29,"[1, 3, 6, 7, 9]"
31,"[0, 3, 4]"
33,"[4, 5, 8]"
35,"[7, 9]"
37,"[1, 3, 4, 8]"
39,"[1, 6, 7]"
41,"[0, 5, 7, 8, 9]"
43,"[7, 8]"
45,"[0, 4, 6]"
47,"[5, 6, 7]"
49,"[0, 2, 5, 7]"
51,"[4, 7, 9]"
53,"[2, 3, 4, 6]"
55,[0]
57,"[3, 4]"
59,"[1, 2, 3, 6, 8]"
61,"[2, 6, 7]"
63,"[4, 6]"
65,"[1, 2, 7, 8]"
67,"[5, 6, 7]"
69,[8]
71,"[1, 5, 6, 7]"
73,"[1, 3, 6]"
75,[6]
77,[4]
79,"[2, 4]"
81,"[2, 5, 6, 7, 8]"
83,"[1, 5]"
85,"[1, 9]"
87,"[2, 6, 8, 9]"
89,"[0, 1, 8]"
91,"[4, 5, 6, 8]"
93,"[2, 3, 4, 6]"
95,"[0, 1]"
98,"[1, 2, 5, 6, 7]"
100,"[1, 5]"
102,"[2, 4, 6, 7, 8, 9]"
104,"[2, 5, 8]"
106,"[3, 4]"
108,"[1, 4, 5, 7, 9]"
110,"[1, 2, 5, 7, 9]"
112,"[5, 8]"
114,"[0, 1, 3, 6]"
116,"[4, 7, 8]"
118,"[2, 5, 6, 7, 8]"
120,"[7, 8]"
122,"[6, 7, 9]"
124,"[4, 5, 6, 7]"
126,"[2, 6, 8, 9]"
128,"[2, 6, 7, 8, 9]"
130,"[4, 5, 7, 9]"
132,"[4, 9]"
134,"[4, 9]"
136,"[0, 4]"
138,"[0, 2, 3, 4, 6]"
140,[5]
142,"[1, 4, 5, 7, 9]"
144,"[1, 7]"
146,"[0, 2, 5, 7]"
148,"[1, 2, 3, 9]"
150,"[1, 7, 9]"
152,"[0, 2, 3, 7, 8]"
154,"[0, 1, 3, 8]"
156,"[0, 3]"
158,"[0, 2, 3, 6]"
160,"[0, 3]"
162,[3]
164,"[1, 4, 6, 7, 8, 9]"
166,"[0, 4, 6]"
168,"[0, 2, 3, 4, 8]"
170,"[2, 4, 7, 9]"
172,"[2, 8, 9]"
174,"[6, 8]"
176,"[2, 3, 6, 8]"
178,"[0, 3, 6]"
180,"[6, 7, 8, 9]"
182,"[1, 2, 4, 7, 9]"
184,"[2, 8, 9]"
186,"[1, 2, 3, 4, 6, 7, 8]"
188,"[3, 4, 6]"
190,"[1, 2, 3, 4, 6, 8]"
192,"[1, 2, 3, 6, 8]"
194,"[3, 6]"
196,"[1, 2, 3, 4, 6]"
198,"[5, 9]"
200,"[4, 7, 8, 9]"
202,"[0, 1, 2, 3, 4, 5]"
204,"[0, 1, 3, 6]"
206,"[0, 1, 6]"
208,"[1, 6, 7, 9]"
210,"[2, 3, 6, 7, 9]"
212,"[0, 3, 8]"
214,"[1, 2, 3, 4, 9]"
216,"[0, 1, 7, 8]"
218,"[4, 5, 6, 7]"
220,"[0, 3, 5, 6]"
222,"[6, 7]"
224,"[6, 7, 8, 9]"
226,"[0, 1, 3, 6]"
228,"[2, 9]"
230,"[1, 3, 4, 8]"
232,"[2, 4, 5]"
234,"[1, 2, 4, 6, 8]"
236,"[0, 1]"
238,"[2, 3, 8]"
240,"[2, 4, 6, 7, 8, 9]"
242,"[5, 6, 7]"
244,"[4, 5, 7, 9]"
246,"[0, 1, 3, 8]"
248,"[2, 4, 6, 7, 8, 9]"
250,"[7, 9]"
252,"[4, 5, 6, 7]"
