ano_idx,exp_subspace
1,[9]
3,"[1, 2, 3, 5, 6, 7, 8, 9]"
5,[2]
7,"[0, 8]"
9,"[0, 3]"
11,"[3, 4, 8]"
13,"[6, 7, 9]"
15,[9]
17,[9]
19,"[0, 1, 4, 5]"
21,"[0, 3, 4]"
23,"[1, 3, 4, 5, 7, 9]"
25,[1]
27,[7]
29,"[1, 4]"
31,[4]
33,"[2, 3, 5, 7, 8, 9]"
35,[4]
37,"[1, 7, 9]"
39,"[1, 6]"
41,"[1, 5, 9]"
43,"[7, 8]"
45,"[0, 4, 6]"
47,"[0, 5, 6]"
49,"[2, 3, 5, 7, 8, 9]"
51,[9]
53,[4]
55,[0]
57,"[4, 7]"
59,[4]
61,"[0, 2, 3, 4, 6]"
63,[6]
65,"[6, 8]"
67,"[6, 7]"
69,"[1, 8]"
71,"[1, 7]"
73,"[1, 6]"
75,[6]
77,"[1, 4, 5]"
79,"[1, 2, 4, 8]"
81,"[2, 3, 5, 6, 7, 8]"
83,[1]
85,"[0, 6, 7, 8, 9]"
87,"[2, 4, 6, 9]"
89,"[0, 1, 6]"
91,"[2, 5, 8]"
93,"[0, 5, 6]"
95,[1]
98,"[1, 2, 4]"
100,"[0, 1, 2, 3, 5]"
102,"[0, 2, 7]"
104,"[0, 1, 2, 6, 8]"
106,[7]
108,"[1, 4]"
110,"[0, 1, 4, 7]"
112,"[0, 7]"
114,"[0, 6]"
116,[3]
118,"[2, 5, 6, 8]"
120,"[0, 2, 8]"
122,[6]
124,[7]
126,[8]
128,[8]
130,[5]
132,"[4, 9]"
134,"[0, 4]"
136,"[0, 5, 6]"
138,[2]
140,"[2, 5, 6, 8]"
142,"[1, 4, 5]"
144,"[0, 1]"
146,[2]
148,"[1, 2, 9]"
150,"[0, 1, 6, 7]"
152,"[0, 3]"
154,"[0, 3]"
156,"[0, 3]"
158,"[0, 3]"
160,"[0, 3]"
162,[3]
164,"[1, 9]"
166,"[2, 7]"
168,"[2, 3]"
170,"[1, 2, 7, 8]"
172,"[4, 9]"
174,"[0, 6, 8]"
176,"[2, 3, 4, 5]"
178,"[0, 3]"
180,"[0, 5, 6]"
182,"[2, 4]"
184,"[0, 2, 4, 8]"
186,"[0, 8]"
188,[3]
190,"[1, 2, 5, 6, 8]"
192,"[1, 2, 6, 8]"
194,"[2, 3, 5]"
196,"[1, 4]"
198,"[2, 3, 5, 7, 9]"
200,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
202,[5]
204,[1]
206,"[0, 5, 6]"
208,"[0, 4, 6]"
210,[6]
212,"[3, 7, 8, 9]"
214,"[2, 3, 4]"
216,"[4, 7]"
218,"[0, 1, 4, 5]"
220,"[3, 4]"
222,[7]
224,"[0, 6, 8]"
226,[6]
228,"[2, 8]"
230,"[0, 6, 8]"
232,"[2, 4]"
234,[4]
236,[1]
238,"[0, 3]"
240,"[2, 3, 8]"
242,[7]
244,[5]
246,"[1, 2, 3, 8]"
248,"[0, 2, 7]"
250,[5]
252,"[0, 5, 6]"
