ano_idx,exp_subspace
1,"[2, 9]"
3,"[1, 2, 3, 7, 9]"
5,"[2, 9]"
7,"[6, 8]"
9,"[2, 3]"
11,"[0, 3, 6, 8]"
13,"[0, 6, 9]"
15,"[4, 9]"
17,[5]
19,"[1, 6, 8]"
21,"[0, 1, 2, 7]"
23,"[4, 7, 9]"
25,"[0, 1]"
27,[7]
29,"[1, 4, 9]"
31,"[0, 4, 9]"
33,"[0, 3, 5, 8, 9]"
35,"[0, 4, 7]"
37,"[0, 1, 4, 8, 9]"
39,"[0, 1, 6]"
41,"[0, 1, 5, 7]"
43,"[0, 7, 8]"
45,"[0, 6, 8]"
47,"[0, 1, 5, 6]"
49,"[2, 5, 7]"
51,"[4, 7, 9]"
53,[4]
55,[0]
57,"[4, 7]"
59,"[1, 2, 4, 9]"
61,[4]
63,"[1, 2, 4, 6, 7]"
65,"[0, 6, 9]"
67,"[0, 1, 3, 6, 7]"
69,"[0, 8]"
71,"[1, 4, 5, 6, 7, 8]"
73,[6]
75,[6]
77,"[1, 4]"
79,"[1, 2, 4]"
81,"[0, 1, 5, 6, 7]"
83,[1]
85,"[7, 9]"
87,"[2, 5]"
89,[6]
91,"[5, 6, 8]"
93,[6]
95,"[0, 1, 2, 3]"
98,"[1, 2, 7]"
100,"[0, 1, 3]"
102,"[2, 9]"
104,"[2, 6, 7, 8]"
106,"[4, 7]"
108,"[1, 4, 5, 7]"
110,"[6, 7]"
112,"[0, 7, 8]"
114,[6]
116,[8]
118,[5]
120,"[8, 9]"
122,"[6, 7]"
124,"[7, 9]"
126,"[2, 8]"
128,"[2, 4, 8, 9]"
130,"[0, 5, 6]"
132,"[4, 8, 9]"
134,"[0, 3, 4]"
136,"[0, 1, 5, 6]"
138,"[2, 3]"
140,"[0, 5]"
142,"[0, 1, 5]"
144,[1]
146,[7]
148,"[0, 1, 2, 8, 9]"
150,[9]
152,"[2, 3]"
154,"[2, 3]"
156,"[2, 3]"
158,"[2, 3]"
160,"[2, 3]"
162,[3]
164,"[1, 9]"
166,"[6, 7]"
168,"[2, 3]"
170,"[1, 2, 7, 8]"
172,"[2, 9]"
174,"[6, 7]"
176,"[2, 4]"
178,"[2, 3]"
180,"[6, 9]"
182,"[1, 2, 4, 9]"
184,"[4, 9]"
186,[8]
188,"[0, 1, 2, 3, 6]"
190,"[1, 2, 3, 4, 6, 8]"
192,"[1, 2, 6]"
194,"[1, 5, 6]"
196,"[1, 2, 4]"
198,"[2, 7, 9]"
200,"[4, 9]"
202,[5]
204,"[1, 6, 7]"
206,"[0, 1, 6]"
208,"[6, 9]"
210,"[1, 6]"
212,"[0, 3, 9]"
214,"[0, 2, 3, 4]"
216,"[0, 4, 6, 7]"
218,"[1, 6]"
220,"[0, 1, 5]"
222,"[2, 7]"
224,"[6, 8]"
226,"[6, 8]"
228,"[0, 2, 7]"
230,"[2, 3]"
232,[2]
234,"[0, 4]"
236,[1]
238,"[2, 3]"
240,"[2, 3]"
242,"[3, 7]"
244,"[0, 5]"
246,"[1, 8]"
248,"[2, 9]"
250,"[5, 7]"
252,"[0, 5, 6, 7]"
