ano_idx,exp_subspace
1500,"[1, 2, 6, 9]"
1501,"[1, 4, 6, 8, 9]"
1502,"[2, 4, 5]"
1503,"[1, 3, 4, 6]"
1504,"[1, 4, 6, 9]"
1505,"[1, 4, 9]"
1506,"[1, 4, 7, 8]"
1507,"[4, 8, 9]"
1508,"[1, 2, 8, 9]"
1509,"[1, 6, 8, 9]"
1510,"[1, 3, 6, 7, 8]"
1511,"[2, 3, 4, 5, 7]"
1512,"[8, 9]"
1513,"[2, 3, 5, 6, 7]"
1514,"[0, 4, 5, 6, 7]"
1515,"[1, 3, 6]"
1516,"[2, 3, 4, 6]"
1517,"[2, 4, 5]"
1518,"[2, 3, 4, 6]"
1519,[8]
1520,"[6, 7, 8]"
1521,"[0, 1, 2, 4, 6]"
1522,"[7, 8, 9]"
1523,"[1, 2, 4, 6, 9]"
1524,"[2, 6, 8]"
1525,"[3, 5, 6, 7]"
1526,"[1, 3, 5]"
1527,"[1, 7]"
1528,"[1, 4, 9]"
1529,"[2, 4, 7, 8, 9]"
1530,"[2, 8, 9]"
1531,"[2, 3, 5, 6]"
1532,"[1, 3, 6]"
1533,"[7, 9]"
1534,"[6, 7, 8]"
1535,"[2, 4, 5]"
1536,"[6, 7, 9]"
1537,"[6, 8]"
1538,"[0, 3, 4, 6]"
1539,"[2, 4, 7, 8]"
1540,"[1, 7, 8, 9]"
1541,"[1, 4, 6]"
1542,"[1, 2, 6, 8]"
1543,"[1, 2, 4, 5, 7]"
1544,"[6, 7, 8]"
1545,"[6, 8]"
1546,"[0, 2, 5, 6]"
1547,"[2, 4, 5, 7, 9]"
1548,"[1, 2, 5, 6]"
1549,"[2, 5]"
1550,[5]
1551,"[4, 6, 8]"
1552,"[1, 6, 7, 9]"
1553,"[1, 3, 6]"
1554,"[0, 2, 3, 7]"
1555,"[2, 3, 5]"
1556,"[3, 4, 9]"
1557,"[7, 8, 9]"
1558,"[1, 2, 3, 4, 5, 6]"
1559,"[8, 9]"
1560,"[1, 7, 8, 9]"
1561,"[2, 4, 5]"
1562,"[0, 2, 4, 5, 6]"
1563,"[1, 2, 4, 6, 9]"
1564,"[0, 1, 3, 4, 6]"
1565,"[2, 4, 9]"
1566,"[2, 3, 4, 9]"
1567,"[1, 6, 7, 9]"
1568,"[1, 2, 6, 8]"
1569,"[1, 9]"
1570,"[2, 5]"
1571,"[7, 8]"
1572,"[1, 7, 8, 9]"
1573,"[1, 3, 6]"
1574,"[5, 7]"
1575,"[1, 2, 4, 6]"
1576,"[7, 8, 9]"
1577,"[1, 6, 7, 9]"
1578,"[0, 1, 2, 4, 7, 9]"
1579,"[4, 5, 6, 7, 9]"
1580,"[2, 4, 5]"
1581,"[3, 7, 9]"
1582,"[7, 9]"
1583,"[1, 3, 4, 6, 9]"
1584,"[2, 4, 7]"
1585,"[1, 5]"
1586,"[0, 2, 3, 5]"
1587,"[1, 2, 6, 7, 8, 9]"
1588,"[4, 6, 8]"
1589,"[2, 4, 5]"
1590,"[0, 2, 4, 6, 7]"
1591,"[3, 6, 8]"
1592,"[1, 6, 8, 9]"
1593,"[1, 2, 5]"
1594,"[6, 7]"
1595,"[1, 2, 5, 6]"
1596,"[2, 3, 4, 7, 9]"
1597,"[5, 7]"
1598,"[1, 2, 6, 7, 8, 9]"
1599,"[2, 3, 4, 6, 7]"
