ano_idx,exp_subspace
1500,[2]
1501,"[4, 8]"
1502,"[0, 5]"
1503,"[0, 4]"
1504,"[0, 1]"
1505,"[0, 1, 4, 5, 9]"
1506,"[1, 4, 6, 7, 8, 9]"
1507,[9]
1508,"[1, 2, 9]"
1509,"[1, 8, 9]"
1510,"[3, 4, 6, 7, 8]"
1511,[4]
1512,[0]
1513,"[0, 2, 3, 5, 6]"
1514,"[0, 4, 7]"
1515,"[0, 3, 5, 6]"
1516,[4]
1517,"[0, 4]"
1518,[4]
1519,[8]
1520,"[6, 7, 8]"
1521,"[0, 1, 2, 4, 6, 9]"
1522,"[0, 9]"
1523,[2]
1524,"[0, 1, 2, 5, 6, 8]"
1525,"[3, 5, 6, 7]"
1526,[0]
1527,"[1, 2, 7]"
1528,"[1, 2, 4, 9]"
1529,"[2, 4, 6, 7, 8]"
1530,"[2, 4, 8, 9]"
1531,[5]
1532,"[0, 1, 6, 9]"
1533,[9]
1534,"[3, 6, 7]"
1535,"[2, 9]"
1536,[7]
1537,[6]
1538,[0]
1539,[0]
1540,"[0, 1, 7]"
1541,"[0, 1, 4, 7, 9]"
1542,"[1, 2, 5, 8]"
1543,"[2, 4, 5]"
1544,[6]
1545,[6]
1546,[5]
1547,[0]
1548,[2]
1549,"[2, 9]"
1550,[5]
1551,[4]
1552,[9]
1553,"[0, 1]"
1554,[0]
1555,"[0, 3, 5]"
1556,"[3, 6, 9]"
1557,"[1, 2, 3, 5, 7, 8]"
1558,"[2, 3, 4, 5, 6]"
1559,[0]
1560,"[0, 1, 5]"
1561,[4]
1562,"[2, 4, 5, 6]"
1563,"[4, 9]"
1564,[0]
1565,[9]
1566,[9]
1567,[7]
1568,[2]
1569,"[0, 1]"
1570,[5]
1571,[7]
1572,"[0, 9]"
1573,[0]
1574,[0]
1575,"[1, 4]"
1576,[4]
1577,"[1, 6, 7, 9]"
1578,"[1, 4, 8, 9]"
1579,[4]
1580,[0]
1581,[9]
1582,[9]
1583,"[2, 3, 4, 9]"
1584,"[1, 2, 7]"
1585,[5]
1586,[0]
1587,[7]
1588,"[4, 6, 8, 9]"
1589,"[1, 2, 4, 5, 7, 9]"
1590,[4]
1591,[8]
1592,[9]
1593,[5]
1594,[7]
1595,"[1, 2, 5]"
1596,[9]
1597,"[0, 4, 5, 7, 9]"
1598,"[2, 9]"
1599,"[0, 1, 2, 3, 6]"
