ano_idx,exp_subspace
1500,"[2, 3, 9]"
1501,"[4, 8]"
1502,[5]
1503,"[0, 3, 4, 6]"
1504,"[1, 6, 9]"
1505,"[1, 3, 4, 5, 9]"
1506,"[1, 4, 7, 8]"
1507,"[4, 9]"
1508,"[1, 2, 4, 9]"
1509,"[1, 4, 6, 8, 9]"
1510,"[3, 4, 5, 6, 8, 9]"
1511,"[0, 3, 4, 5, 6]"
1512,"[0, 8]"
1513,"[2, 3, 4, 5, 6]"
1514,"[0, 3, 4, 6, 7]"
1515,"[0, 1, 3, 5, 6]"
1516,"[0, 4]"
1517,"[0, 4, 5, 6]"
1518,"[2, 3, 4]"
1519,[8]
1520,"[6, 7, 8]"
1521,"[0, 1, 2, 4, 6, 9]"
1522,"[0, 9]"
1523,"[2, 4, 5, 6, 9]"
1524,"[1, 5, 6, 8]"
1525,"[3, 5, 6, 7]"
1526,"[0, 1, 2, 5]"
1527,"[1, 2, 3, 4, 7]"
1528,"[4, 9]"
1529,"[2, 4, 5, 6, 7, 8]"
1530,"[2, 4, 8, 9]"
1531,"[3, 5, 6]"
1532,"[0, 3, 4, 6]"
1533,"[1, 3, 5, 7, 9]"
1534,"[3, 4, 5, 6, 7]"
1535,"[2, 4, 9]"
1536,"[1, 7, 9]"
1537,"[3, 4, 6, 8]"
1538,"[0, 4, 7]"
1539,"[0, 4]"
1540,"[1, 7, 8, 9]"
1541,"[0, 1, 4, 6, 7]"
1542,"[1, 2, 4, 5, 6, 8]"
1543,"[1, 2, 4, 5]"
1544,"[2, 6, 7, 8, 9]"
1545,[6]
1546,"[0, 2, 5, 6, 7, 8]"
1547,"[0, 4]"
1548,"[2, 5]"
1549,"[2, 4, 5, 9]"
1550,[5]
1551,"[4, 9]"
1552,"[6, 9]"
1553,"[0, 1, 5, 6, 7]"
1554,"[0, 1, 2, 3, 7]"
1555,"[0, 3, 5, 8]"
1556,"[3, 4, 9]"
1557,"[3, 5, 6, 7, 9]"
1558,"[2, 3, 4, 5, 6, 9]"
1559,"[0, 8, 9]"
1560,"[0, 1, 5]"
1561,"[4, 9]"
1562,"[0, 2, 4, 5, 6]"
1563,"[2, 4, 5, 6, 9]"
1564,"[0, 3, 6, 7]"
1565,"[0, 1, 2, 6, 9]"
1566,[9]
1567,"[1, 4, 5, 7]"
1568,"[1, 2, 3, 4, 7, 8]"
1569,"[0, 1]"
1570,[5]
1571,"[4, 7]"
1572,"[0, 4, 9]"
1573,"[0, 1]"
1574,"[7, 8]"
1575,"[0, 1, 4, 6]"
1576,"[4, 7, 9]"
1577,"[1, 2, 3, 4, 7, 8, 9]"
1578,"[0, 1, 3, 4, 9]"
1579,"[0, 4, 7]"
1580,"[1, 2, 5, 6, 8, 9]"
1581,"[0, 7, 8, 9]"
1582,"[4, 9]"
1583,"[1, 3, 4, 6, 8, 9]"
1584,"[2, 3, 4, 7]"
1585,"[1, 5]"
1586,"[0, 2]"
1587,"[2, 3, 7, 8, 9]"
1588,"[2, 4, 5, 6, 9]"
1589,"[2, 5, 6, 7]"
1590,"[2, 4]"
1591,"[3, 4, 8]"
1592,"[1, 3, 4, 6, 8, 9]"
1593,"[3, 5]"
1594,"[5, 7]"
1595,"[1, 2, 5, 6, 9]"
1596,[9]
1597,"[4, 7]"
1598,"[2, 3, 9]"
1599,"[0, 2, 3, 4, 6, 7]"
