ano_idx,exp_subspace
5066,"[0, 4, 6, 8, 9]"
5067,"[0, 3, 6, 8, 9]"
5068,"[3, 4, 5, 6, 7, 8]"
5069,"[0, 2, 4, 6]"
5070,"[2, 3, 6]"
5071,"[1, 2, 3, 5, 6]"
5072,"[2, 3, 4, 5, 6, 7]"
5073,"[0, 2, 3, 6, 8, 9]"
5074,[6]
5075,"[2, 3, 6]"
5076,"[0, 2, 5, 6, 8]"
5077,"[0, 3, 6, 8, 9]"
5078,"[2, 3, 4, 6, 9]"
5079,"[0, 3, 4, 6, 8]"
5080,"[2, 3, 5, 6, 7]"
5081,"[3, 4, 6, 7, 8]"
5082,"[2, 3, 6]"
5083,"[2, 3, 6]"
5084,[6]
5085,"[0, 6, 8, 9]"
5086,"[2, 3, 5, 6, 7]"
5087,"[2, 3, 6]"
5088,"[0, 6, 8, 9]"
5089,"[1, 2, 3, 4, 5, 6, 7]"
5090,"[0, 3, 6, 8, 9]"
5091,[6]
5092,"[3, 5, 6, 7, 8]"
5093,"[0, 3, 6, 8, 9]"
5094,"[0, 6, 8, 9]"
5095,"[3, 4, 5, 6, 7, 8]"
5096,"[1, 4, 6, 7]"
5097,"[0, 2, 3, 6, 8, 9]"
5098,"[5, 6, 7, 8]"
5099,"[2, 3, 6]"
5100,"[5, 6]"
5101,"[1, 2, 3, 6, 7]"
5102,"[3, 4, 5, 6, 7, 8]"
5103,"[1, 3, 6, 8]"
5104,"[2, 3, 6]"
5105,"[0, 2, 6]"
5106,"[0, 3, 6, 8, 9]"
5107,"[0, 3, 6, 8]"
5108,"[0, 3, 6, 8, 9]"
5109,"[2, 5, 6, 7]"
5110,"[1, 2, 3, 4, 5, 6, 7]"
5111,"[2, 3, 6]"
5112,"[0, 3, 6, 8, 9]"
5113,"[2, 3, 6]"
5114,"[0, 2, 4, 6]"
5115,"[2, 3, 6]"
5116,"[2, 3, 5, 6, 7]"
5117,[6]
5118,"[2, 3, 6]"
5119,"[0, 4, 6, 9]"
5120,"[2, 5, 6, 7]"
5121,"[0, 1, 2, 3, 5, 6, 8, 9]"
5122,"[2, 3, 5, 6, 7]"
5123,"[1, 2, 3, 5, 6, 7]"
5124,"[2, 3, 6]"
5125,"[2, 3, 6]"
5126,"[2, 5, 6]"
5127,"[2, 3, 5, 6, 7]"
5128,"[2, 3, 6]"
5129,"[0, 3, 6, 8, 9]"
5130,"[3, 4, 5, 6, 7, 8]"
5131,"[1, 2, 3, 6, 7]"
5132,"[1, 2, 6, 7]"
5133,"[1, 2, 3, 6, 9]"
5134,"[2, 3, 4, 6, 7]"
5135,"[2, 3, 4, 6, 7]"
5136,[6]
5137,"[0, 2, 5, 6, 8, 9]"
5138,"[2, 3, 4, 6, 7]"
5139,"[2, 3, 6]"
5140,"[2, 3, 4, 5, 6, 7]"
5141,"[3, 4, 5, 6, 7]"
5142,"[0, 3, 6, 8, 9]"
5143,"[2, 3, 6]"
5144,"[3, 4, 6, 7, 8]"
5145,"[2, 3, 6]"
5146,"[0, 4, 6, 8, 9]"
5147,"[0, 3, 4, 6, 9]"
