ano_idx,exp_subspace
5066,"[0, 4, 9]"
5067,[6]
5068,[6]
5069,"[0, 6]"
5070,[6]
5071,[6]
5072,[6]
5073,"[2, 6]"
5074,[6]
5075,[6]
5076,[6]
5077,[6]
5078,[6]
5079,[6]
5080,[6]
5081,"[1, 3, 6, 7]"
5082,[6]
5083,[6]
5084,[6]
5085,"[0, 6]"
5086,[6]
5087,[6]
5088,[6]
5089,[6]
5090,"[0, 2, 6]"
5091,[6]
5092,"[0, 3, 6]"
5093,"[0, 3, 6]"
5094,[6]
5095,[6]
5096,[6]
5097,"[0, 6]"
5098,[6]
5099,[6]
5100,[6]
5101,[6]
5102,"[1, 3, 6, 7]"
5103,[6]
5104,[6]
5105,"[0, 2, 6]"
5106,"[0, 2, 3, 6, 8]"
5107,[6]
5108,[3]
5109,[6]
5110,[6]
5111,[6]
5112,[6]
5113,[6]
5114,"[0, 2, 6]"
5115,[6]
5116,[6]
5117,[6]
5118,"[2, 6]"
5119,"[0, 6]"
5120,[6]
5121,"[0, 1, 2, 3, 6, 8]"
5122,[6]
5123,[6]
5124,[6]
5125,[6]
5126,"[0, 1, 2, 6]"
5127,[6]
5128,[6]
5129,"[6, 8]"
5130,[6]
5131,[3]
5132,[6]
5133,[3]
5134,[3]
5135,"[2, 3, 6]"
5136,[6]
5137,"[0, 2, 5, 6]"
5138,"[3, 6]"
5139,[6]
5140,[6]
5141,"[0, 3, 6, 7]"
5142,[6]
5143,[6]
5144,"[1, 2, 4, 6, 7]"
5145,[6]
5146,"[0, 4, 9]"
5147,[6]
5148,"[0, 1, 6, 8]"
5149,[6]
5150,"[0, 2, 4, 6, 7]"
5151,[6]
5152,"[0, 1, 6]"
5153,[6]
5154,[6]
5155,[6]
5156,[6]
5157,"[0, 2, 4, 6, 7]"
5158,"[3, 8, 9]"
5159,[6]
5160,"[0, 3, 6]"
5161,"[0, 6]"
5162,"[0, 2, 6]"
5163,[6]
5164,[6]
5165,"[0, 6]"
5166,[3]
5167,[6]
5168,[6]
5169,[6]
5170,[6]
5171,"[0, 3, 6]"
5172,[0]
5173,[6]
5174,"[2, 4, 6]"
5175,[6]
5176,[6]
5177,"[0, 6]"
5178,[6]
5179,[3]
5180,[6]
5181,[6]
5182,"[0, 6]"
5183,[6]
5184,"[0, 6, 9]"
5185,"[0, 3, 5, 6, 7, 8]"
5186,[6]
5187,[6]
5188,"[0, 6]"
5189,[6]
5190,"[0, 6]"
5191,[6]
5192,[6]
5193,"[0, 6]"
5194,[6]
5195,[6]
5196,"[6, 7]"
5197,"[6, 8]"
5198,[6]
5199,"[0, 6]"
5200,"[0, 1, 2, 6]"
5201,[6]
5202,"[3, 7, 8, 9]"
5203,"[0, 4, 9]"
5204,"[2, 3, 6, 8, 9]"
5205,"[0, 2, 3, 6, 8]"
5206,[3]
5207,[6]
5208,[9]
5209,[6]
5210,"[0, 2, 6, 8]"
5211,[6]
5212,[6]
5213,[6]
5214,[6]
5215,[6]
