ano_idx,exp_subspace
5066,"[2, 4, 6, 9]"
5067,"[0, 1, 2, 3, 6, 8]"
5068,"[1, 3, 4, 6, 7, 8]"
5069,"[0, 1, 2, 5, 6]"
5070,"[0, 2, 4, 6]"
5071,"[1, 3, 6]"
5072,"[0, 1, 2, 4, 6]"
5073,"[0, 2, 4, 6, 8]"
5074,[6]
5075,"[0, 1, 2, 3, 6, 8]"
5076,"[0, 2, 4, 6]"
5077,"[1, 2, 4, 6]"
5078,"[1, 2, 4, 6]"
5079,"[0, 1, 2, 3, 6, 8]"
5080,"[0, 1, 2, 3, 6, 8]"
5081,"[0, 2, 3, 6, 8]"
5082,"[0, 1, 2, 3, 6, 8]"
5083,"[0, 1, 2, 3, 6, 8]"
5084,"[1, 6]"
5085,"[0, 1, 2, 5, 6]"
5086,"[3, 6, 7]"
5087,"[2, 4, 6]"
5088,"[0, 6, 7, 8]"
5089,"[3, 6, 7]"
5090,"[0, 1, 2, 3, 6, 8]"
5091,"[1, 6]"
5092,"[0, 2, 6, 7, 8]"
5093,"[0, 2, 3, 5, 6]"
5094,"[0, 2, 6]"
5095,"[3, 6, 7]"
5096,"[4, 6, 7]"
5097,"[0, 2, 6, 8]"
5098,"[0, 2, 4, 6, 8]"
5099,"[2, 6]"
5100,"[1, 3, 6]"
5101,"[0, 1, 2, 3, 6, 8]"
5102,"[0, 3, 4, 6, 7, 8]"
5103,"[3, 6, 8]"
5104,"[0, 1, 2, 6]"
5105,"[0, 2, 4, 6]"
5106,"[0, 1, 2, 3, 6, 8]"
5107,"[6, 8]"
5108,"[2, 3, 5, 6, 8]"
5109,"[6, 9]"
5110,"[3, 6, 7]"
5111,"[0, 1, 2, 3, 6, 8]"
5112,"[0, 1, 2, 3, 6, 8]"
5113,"[0, 1, 2, 3, 6, 8]"
5114,"[0, 1, 2, 6]"
5115,"[0, 1, 2, 3, 6, 8]"
5116,"[0, 1, 2, 3, 6, 8]"
5117,"[0, 6, 9]"
5118,"[0, 1, 2, 3, 6, 8]"
5119,"[0, 2, 3, 6, 8, 9]"
5120,"[6, 9]"
5121,"[0, 1, 2, 3, 6, 8]"
5122,"[0, 2, 4, 6]"
5123,"[1, 6]"
5124,"[0, 1, 2, 6]"
5125,"[0, 1, 2, 3, 6, 8]"
5126,"[0, 1, 2, 4, 6]"
5127,"[1, 2, 6, 7]"
5128,"[0, 2, 3, 4, 6]"
5129,"[6, 8]"
5130,"[1, 3, 4, 6, 7, 8]"
5131,"[1, 2, 3, 6]"
5132,"[3, 4, 6, 7]"
5133,"[1, 2, 3, 6]"
5134,"[0, 1, 2, 3, 6, 8]"
5135,"[2, 3, 4, 5, 6]"
5136,"[1, 4, 6]"
5137,"[0, 2, 3, 5, 6]"
5138,"[2, 3, 4, 5, 6]"
5139,"[0, 1, 2, 3, 6, 8]"
5140,"[6, 9]"
5141,"[3, 4, 6, 7]"
5142,"[0, 1, 2, 3, 6, 8]"
5143,"[2, 6, 8, 9]"
5144,"[0, 3, 4, 6, 7, 8]"
5145,"[2, 6]"
5146,"[2, 4, 6, 9]"
5147,"[0, 1, 2, 4, 6]"
5148,"[0, 1, 6, 8]"
5149,"[1, 3, 6]"
5150,"[0, 3, 4, 6, 7]"
5151,"[1, 3, 6]"
5152,"[0, 2, 6, 8]"
5153,"[6, 8]"
5154,"[0, 2, 6]"
5155,"[4, 6, 7]"
5156,"[1, 2, 6, 7]"
5157,"[0, 3, 4, 6, 7]"
5158,"[1, 2, 3, 6, 7, 8, 9]"
5159,"[0, 1, 2, 5, 6]"
5160,"[0, 1, 2, 3, 6, 8]"
5161,"[0, 1, 2, 3, 6, 8]"
5162,"[0, 2, 3, 5, 6]"
5163,"[3, 6]"
5164,"[3, 4, 6, 7]"
5165,"[0, 2, 6, 8]"
5166,"[1, 2, 3, 6, 7, 8, 9]"
5167,"[0, 2, 4, 6]"
5168,"[5, 6, 9]"
5169,"[0, 2, 4, 6]"
5170,"[6, 8]"
5171,"[0, 3, 6, 8]"
5172,"[0, 3, 4, 6]"
5173,"[3, 5, 6]"
5174,"[0, 2, 4, 6]"
5175,"[0, 1, 2, 3, 6, 8]"
5176,"[3, 5, 6, 7]"
5177,"[0, 1, 2, 5, 6]"
5178,"[1, 2, 6]"
5179,"[3, 6, 7]"
5180,"[1, 3, 6]"
5181,"[1, 3, 6]"
5182,"[3, 6, 9]"
5183,"[0, 2, 4, 6]"
5184,"[0, 1, 2, 6, 9]"
5185,"[0, 3, 5, 6, 8, 9]"
5186,"[1, 3, 5, 6, 7, 8]"
5187,"[0, 1, 2, 3, 6, 8]"
5188,"[0, 2, 4, 6, 8]"
5189,"[0, 2, 4, 6, 8]"
5190,"[0, 1, 2, 4, 6]"
5191,"[0, 2, 3, 5, 6, 7]"
5192,"[0, 1, 2, 3, 6, 8]"
5193,"[0, 1, 4, 6]"
5194,"[1, 2, 6]"
