ano_idx,exp_subspace
0,"[0, 1, 6, 7]"
2,"[0, 1, 2, 5]"
4,"[2, 6]"
6,[2]
8,"[1, 3, 4, 5, 7]"
9,[5]
11,"[0, 1, 5]"
13,[4]
14,"[0, 1, 4, 5, 7]"
15,[2]
16,"[0, 2, 3, 4, 5]"
17,"[0, 5]"
19,"[3, 4, 5, 7]"
22,"[1, 2]"
23,"[0, 2, 3, 5]"
24,"[0, 2, 3, 4, 7]"
25,"[0, 4]"
26,"[0, 1, 5, 7]"
31,"[3, 4]"
37,"[0, 2, 3, 7]"
38,"[2, 3]"
39,"[0, 3, 4, 6, 7]"
43,"[0, 2, 4, 5]"
45,"[0, 1, 2, 6]"
48,"[0, 2, 3, 5]"
53,"[0, 2, 3, 4, 7]"
56,"[0, 1, 2, 3, 4, 5]"
61,"[0, 1, 7]"
64,"[0, 2, 7]"
66,"[0, 2, 6, 7]"
70,"[2, 6]"
72,"[0, 2]"
78,[2]
84,[2]
88,"[0, 2]"
93,"[1, 5, 7]"
99,"[2, 3, 4, 5]"
100,"[1, 6, 7]"
109,"[0, 2, 4, 5]"
110,"[1, 3, 4]"
111,"[0, 2, 4]"
114,[2]
115,"[1, 2, 7]"
116,"[0, 6, 7]"
120,"[3, 5]"
124,"[0, 2, 7]"
125,[2]
128,"[2, 3, 4, 7]"
129,"[6, 7]"
130,"[0, 1, 4, 5]"
131,"[0, 2, 6]"
132,"[1, 2, 3, 4]"
143,"[0, 2, 7]"
152,"[0, 1, 2, 6, 7]"
154,"[0, 1, 5, 7]"
155,"[0, 2, 3, 5]"
159,[0]
164,"[0, 2, 6]"
165,"[0, 4, 5, 6, 7]"
170,"[0, 2, 6, 7]"
171,"[0, 4]"
175,"[0, 1, 3, 4]"
177,"[0, 2, 3, 4, 5]"
179,"[6, 7]"
185,"[0, 1, 2, 6, 7]"
186,"[0, 4, 5, 7]"
187,"[2, 6]"
188,"[0, 2, 3, 4, 5]"
189,"[0, 2, 3, 4]"
192,"[0, 1, 2, 5]"
193,[2]
195,"[0, 2, 3, 4, 5]"
197,[5]
198,"[2, 3]"
199,"[0, 2, 4]"
206,"[1, 7]"
207,"[1, 2, 7]"
209,"[0, 1, 2, 7]"
213,"[0, 2, 4, 5]"
214,"[0, 2, 3, 4]"
215,"[0, 2, 3, 4, 5]"
216,"[0, 2, 3, 4]"
218,[6]
219,"[0, 2, 7]"
220,"[0, 1, 2, 4]"
221,"[6, 7]"
227,[2]
230,"[1, 2, 5]"
231,"[3, 4, 5, 7]"
235,"[1, 5]"
236,"[0, 1, 2, 7]"
237,"[1, 2, 5]"
238,"[0, 1, 2, 6]"
242,[2]
243,"[0, 2, 6]"
245,"[0, 1, 2, 6, 7]"
254,"[0, 2, 4, 5]"
255,"[2, 3]"
259,"[0, 6, 7]"
261,[2]
264,[2]
266,[2]
269,[2]
270,"[0, 2, 5, 6]"
276,[2]
280,"[0, 1, 2, 5]"
283,"[0, 1, 2, 7]"
284,"[5, 7]"
287,"[2, 3, 4, 5]"
291,"[0, 2, 6]"
292,"[2, 3, 4, 6, 7]"
293,[2]
296,"[3, 4, 5]"
298,"[0, 4]"
300,[2]
301,[2]
303,"[2, 5]"
306,"[0, 1, 5, 7]"
308,[6]
309,"[2, 4, 6, 7]"
312,"[1, 5]"
314,"[6, 7]"
317,[1]
319,"[1, 5, 7]"
321,[3]
322,[5]
323,"[0, 1, 2, 5]"
326,"[2, 3, 4]"
328,"[2, 3, 4, 5]"
332,[2]
337,"[0, 2, 7]"
338,"[0, 2, 3, 4, 6, 7]"
339,"[0, 1, 2, 5]"
349,"[0, 1, 2, 5]"
355,"[0, 1, 2, 7]"
356,[2]
357,"[0, 2]"
359,"[1, 3, 4, 5]"
360,"[0, 1, 2, 4]"
363,"[1, 7]"
366,"[0, 5]"
369,[2]
370,"[2, 3, 4, 6]"
375,"[0, 3, 4, 7]"
378,"[1, 5]"
386,"[0, 6, 7]"
387,"[0, 2, 3, 7]"
388,"[0, 4, 7]"
391,"[1, 5]"
394,"[0, 1, 6]"
397,"[2, 3]"
399,"[1, 2]"
400,[2]
402,"[0, 2, 3, 4]"
404,"[0, 1, 2, 6, 7]"
406,"[0, 5, 7]"
408,"[0, 1, 5, 6, 7]"
409,"[3, 4]"
414,"[0, 2, 3, 4]"
415,"[1, 2, 3, 4]"
417,"[0, 1, 5, 6, 7]"
419,"[2, 4, 5]"
424,"[0, 4, 5]"
