ano_idx,exp_subspace
0,[7]
2,[1]
4,"[2, 6]"
6,"[1, 4]"
8,"[1, 4]"
9,"[1, 5, 7]"
11,"[0, 1, 7]"
13,[4]
14,"[1, 4]"
15,[2]
16,[4]
17,[0]
19,[4]
22,[1]
23,[0]
24,"[0, 1, 2, 4]"
25,"[0, 4, 7]"
26,"[1, 7]"
31,[4]
37,[7]
38,[3]
39,"[3, 4, 6, 7]"
43,"[2, 4]"
45,"[1, 6]"
48,[0]
53,"[4, 7]"
56,"[1, 4]"
61,[7]
64,[7]
66,"[2, 3, 7]"
70,[4]
72,"[0, 1, 2]"
78,[2]
84,"[2, 5]"
88,"[0, 4]"
93,[7]
99,"[3, 4]"
100,"[1, 6, 7]"
109,"[1, 3]"
110,"[1, 4]"
111,[4]
114,"[1, 4]"
115,[7]
116,[7]
120,"[1, 3, 4]"
124,[2]
125,"[1, 2, 3, 5]"
128,"[2, 3, 4, 7]"
129,[7]
130,"[1, 4]"
131,"[0, 2, 6]"
132,"[1, 4]"
143,"[0, 7]"
152,"[0, 2, 3, 4, 5, 6, 7]"
154,"[1, 5]"
155,"[1, 3, 5, 7]"
159,[0]
164,[2]
165,"[0, 2, 3, 4, 7]"
170,"[0, 7]"
171,"[0, 4]"
175,"[1, 4]"
177,[5]
179,[7]
185,[1]
186,"[1, 4, 7]"
187,"[2, 3]"
188,[4]
189,[4]
192,"[1, 7]"
193,"[0, 5]"
195,[4]
197,[3]
198,"[3, 4]"
199,[4]
206,"[1, 4]"
207,"[1, 2, 7]"
209,[1]
213,"[1, 4, 5]"
214,[4]
215,[4]
216,"[3, 4]"
218,"[3, 6, 7]"
219,[7]
220,[4]
221,[7]
227,[1]
230,"[1, 2, 5]"
231,[4]
235,[1]
236,"[1, 4]"
237,"[1, 2, 5]"
238,[1]
242,[2]
243,"[0, 2, 3, 4, 6]"
245,"[0, 1, 3, 6, 7]"
254,[4]
255,[3]
259,"[0, 6]"
261,[2]
264,[7]
266,[2]
269,[2]
270,"[0, 2, 3, 5, 6, 7]"
276,"[0, 2, 3]"
280,[1]
283,"[1, 2, 7]"
284,[7]
287,[4]
291,"[3, 6]"
292,[4]
293,"[2, 3, 4]"
296,[4]
298,"[0, 4, 7]"
300,[2]
301,"[1, 4]"
303,"[2, 5]"
306,"[1, 4, 7]"
308,[4]
309,[4]
312,"[1, 4]"
314,"[0, 3, 5, 6, 7]"
317,[1]
319,"[1, 7]"
321,"[0, 2, 3]"
322,[7]
323,"[0, 2, 3]"
326,[4]
328,"[4, 5]"
332,"[1, 2]"
337,[7]
338,[4]
339,[1]
349,[1]
355,"[1, 2, 7]"
356,"[2, 3, 4]"
357,"[0, 2, 3]"
359,"[1, 4]"
360,"[1, 4]"
363,[7]
366,[0]
369,[2]
370,[6]
375,"[4, 7]"
378,[5]
386,[7]
387,[2]
388,"[4, 7]"
391,[1]
394,"[0, 1, 2, 6]"
397,[3]
399,[1]
400,[7]
402,"[3, 4, 7]"
404,[1]
406,[7]
408,"[0, 1, 5, 6, 7]"
409,[4]
414,[4]
415,[4]
417,"[1, 7]"
419,[4]
424,[4]
425,"[1, 4]"
427,"[1, 4]"
429,[4]
435,[2]
440,[2]
443,"[0, 6]"
444,[3]
445,"[1, 5]"
448,[3]
451,[1]
455,"[0, 1]"
458,"[4, 7]"
468,[2]
476,[4]
480,[4]
484,[2]
485,[4]
493,"[3, 4, 6, 7]"
498,"[1, 4, 7]"
502,[1]
506,"[1, 4]"
510,"[0, 7]"
515,"[1, 4]"
516,"[4, 7]"
523,"[0, 7]"
535,[2]
539,"[2, 3, 4]"
540,[4]
541,[4]
542,[7]
545,"[1, 4]"
546,"[1, 4, 7]"
560,[7]
561,"[1, 4]"
569,[4]
577,[5]
579,[3]
580,"[1, 2, 3]"
584,[4]
586,"[1, 7]"
588,"[1, 4, 7]"
590,"[0, 2, 3]"
592,[7]
595,"[1, 4]"
598,[1]
603,"[4, 7]"
604,"[1, 2]"
606,"[1, 4]"
611,"[1, 4]"
612,[4]
614,"[0, 4, 7]"
618,"[0, 2, 3, 6, 7]"
619,[2]
630,[7]
635,[0]
638,"[0, 4, 5, 6]"
642,[7]
646,"[1, 4]"
647,"[1, 4]"
648,"[0, 4]"
655,[4]
659,[6]
661,"[1, 2, 3, 6]"
662,"[1, 2, 3]"
663,"[0, 2, 3, 4, 7]"
664,"[0, 2, 3, 7]"
666,[7]
667,"[0, 7]"
675,[1]
676,[7]
678,[2]
681,"[1, 5]"
683,[0]
689,"[1, 3, 4, 5, 7]"
691,"[0, 1, 2]"
693,"[3, 4, 7]"
695,[4]
696,"[1, 4]"
701,[7]
702,"[1, 2, 3, 7]"
706,[5]
708,"[0, 1, 7]"
709,[4]
712,"[0, 5, 7]"
715,"[1, 4]"
716,"[1, 4]"
719,[7]
722,"[4, 7]"
730,[7]
731,[2]
732,"[1, 4]"
739,[7]
740,"[0, 4, 5, 7]"
743,"[0, 1, 2, 7]"
746,[5]
748,"[1, 4]"
749,"[1, 7]"
750,"[0, 6]"
753,"[1, 4]"
754,"[1, 7]"
755,"[3, 4, 6, 7]"
757,[7]
759,"[1, 7]"
761,"[1, 3, 5, 7]"
766,[7]
