ano_idx,exp_subspace
0,"[0, 1, 3, 6, 7]"
2,"[0, 1, 3, 5]"
4,"[2, 6]"
6,"[1, 2]"
8,"[0, 1, 3, 4, 7]"
9,"[0, 5]"
11,"[0, 1, 3, 5]"
13,[4]
14,"[3, 4, 5, 7]"
15,"[0, 1, 2]"
16,"[0, 1, 2, 3, 4, 5]"
17,"[0, 3]"
19,[7]
22,"[1, 2, 3]"
23,"[0, 7]"
24,"[0, 1, 2]"
25,"[0, 4]"
26,"[0, 3, 5]"
31,[4]
37,"[0, 1, 3, 6, 7]"
38,"[1, 3]"
39,"[3, 6, 7]"
43,"[1, 2, 3, 4, 5]"
45,"[0, 1, 6]"
48,"[0, 2, 5, 7]"
53,"[0, 1, 2, 4, 7]"
56,"[0, 1, 2, 4]"
61,"[0, 1, 3]"
64,"[0, 3]"
66,"[0, 6, 7]"
70,"[4, 6]"
72,"[0, 3]"
78,"[2, 5]"
84,"[2, 3]"
88,[0]
93,"[0, 7]"
99,"[0, 1, 2, 3, 4, 5]"
100,"[1, 3, 6]"
109,"[0, 4]"
110,"[1, 6, 7]"
111,"[0, 2, 4]"
114,"[0, 1, 2, 4]"
115,"[1, 2, 7]"
116,"[3, 7]"
120,"[3, 5]"
124,"[3, 7]"
125,"[2, 5]"
128,"[0, 2, 4, 7]"
129,"[0, 7]"
130,"[1, 3]"
131,"[0, 2, 3, 6, 7]"
132,"[1, 4]"
143,"[0, 3]"
152,"[0, 1, 2, 6, 7]"
154,"[0, 1, 3, 5]"
155,"[0, 3, 5]"
159,[0]
164,"[0, 1, 2, 3, 6]"
165,"[0, 4]"
170,"[0, 1, 3]"
171,"[0, 4]"
175,"[0, 1, 3]"
177,[5]
179,"[0, 6]"
185,"[0, 1]"
186,"[0, 1, 2, 4]"
187,"[2, 6]"
188,"[0, 3, 5, 7]"
189,"[0, 4]"
192,"[0, 1, 3]"
193,"[0, 1, 2, 5]"
195,"[0, 1, 2, 3, 4]"
197,"[3, 4]"
198,"[0, 3]"
199,[4]
206,"[0, 1, 2, 4, 5, 7]"
207,"[2, 3]"
209,"[0, 1]"
213,"[3, 5]"
214,"[0, 4]"
215,"[0, 4]"
216,"[0, 2, 3, 4, 7]"
218,"[0, 6]"
219,"[3, 5, 7]"
220,"[0, 1, 2, 4]"
221,"[0, 6, 7]"
227,"[1, 2, 3]"
230,"[0, 1, 3, 5, 7]"
231,"[0, 4, 5]"
235,"[1, 3, 5, 7]"
