ano_idx,exp_subspace
5732,"[2, 3]"
5733,"[0, 1, 3, 9]"
5734,"[2, 3, 5, 8, 9]"
5735,[5]
5736,[5]
5737,"[1, 2, 5, 6, 9]"
5738,"[1, 3]"
5739,"[0, 1, 3]"
5740,"[0, 1, 3, 8, 9]"
5741,"[1, 2, 3, 7, 8, 9]"
5742,"[1, 3, 6]"
5743,"[2, 3]"
5744,"[1, 3]"
5745,"[1, 2, 5, 6, 9]"
5746,"[1, 5, 6]"
5747,"[0, 2, 5]"
5748,"[0, 1, 2, 4, 7, 9]"
5749,"[3, 4, 5, 7, 8, 9]"
5750,"[1, 3, 4, 5]"
5751,"[0, 1, 3, 9]"
5752,[2]
5753,"[0, 1, 3, 8, 9]"
5754,"[1, 3, 6]"
5755,"[1, 3, 9]"
5756,"[0, 2, 5]"
5757,"[2, 3, 8]"
5758,"[1, 4, 5]"
5759,"[0, 1, 3]"
5760,"[0, 1, 3, 9]"
5761,"[1, 3, 9]"
5762,"[1, 6, 7]"
5763,"[1, 2, 3, 7, 8, 9]"
5764,"[1, 3, 9]"
5765,"[1, 3, 9]"
5766,"[2, 4, 5, 6, 8]"
5767,"[0, 1, 2, 3, 6, 8, 9]"
5768,"[0, 1, 2, 6, 7]"
5769,"[0, 1, 3, 5]"
5770,"[0, 2, 3, 5, 6]"
5771,"[2, 5, 6]"
5772,"[0, 1, 2, 7]"
5773,"[0, 1, 3]"
5774,"[0, 2, 3, 5]"
5775,"[1, 3, 9]"
5776,"[1, 2, 3, 4, 6, 7, 8]"
5777,"[7, 9]"
5778,"[0, 3, 5, 6, 7, 9]"
5779,"[0, 1, 3]"
5780,"[1, 3, 9]"
5781,"[1, 3, 4, 5, 9]"
5782,"[3, 7]"
5783,"[0, 1, 3, 9]"
5784,[1]
5785,"[2, 3, 5, 6]"
5786,"[1, 5, 9]"
5787,"[2, 4, 7]"
5788,[7]
5789,"[0, 1, 3, 5]"
5790,"[1, 3, 9]"
5791,"[1, 8]"
5792,"[0, 1, 3]"
5793,"[0, 1, 2, 3, 7]"
5794,"[1, 4, 5]"
5795,"[0, 1, 2, 5, 9]"
5796,"[2, 3, 8, 9]"
5797,"[0, 1, 2, 3, 5, 6, 9]"
5798,"[3, 4, 5, 6, 7, 8]"
5799,"[1, 3, 7]"
5800,"[1, 3, 8]"
5801,"[0, 2, 3, 5]"
5802,"[1, 2, 3, 7, 9]"
