ano_idx,exp_subspace
5732,[2]
5733,[1]
5734,"[2, 9]"
5735,[5]
5736,[5]
5737,[1]
5738,[1]
5739,[1]
5740,[1]
5741,"[1, 2, 3, 4, 9]"
5742,[1]
5743,[1]
5744,[1]
5745,[1]
5746,[5]
5747,[1]
5748,"[1, 9]"
5749,[7]
5750,[1]
5751,[1]
5752,[1]
5753,[1]
5754,"[0, 3, 5]"
5755,[1]
5756,[1]
5757,[1]
5758,[5]
5759,"[1, 3]"
5760,[1]
5761,[1]
5762,"[1, 5, 9]"
5763,"[1, 2, 3, 4, 9]"
5764,[1]
5765,[1]
5766,"[5, 6]"
5767,[1]
5768,[1]
5769,[5]
5770,[1]
5771,[5]
5772,[1]
5773,[1]
5774,[1]
5775,"[1, 3]"
5776,[1]
5777,[5]
5778,"[7, 9]"
5779,[1]
5780,"[2, 9]"
5781,"[2, 3, 5, 7, 9]"
5782,"[3, 5]"
5783,[1]
5784,[1]
5785,[1]
5786,[5]
5787,"[2, 4]"
5788,[1]
5789,[1]
5790,[1]
5791,[7]
5792,"[1, 3]"
5793,[1]
5794,[1]
5795,[1]
5796,[1]
5797,[1]
5798,[7]
5799,"[0, 3, 5]"
5800,[1]
5801,[1]
5802,"[2, 9]"
