ano_idx,exp_subspace
5732,"[1, 2, 4, 8]"
5733,[1]
5734,"[1, 5, 7]"
5735,[5]
5736,[5]
5737,"[0, 1, 2, 4]"
5738,[1]
5739,"[0, 1, 6]"
5740,"[0, 1, 2, 8, 9]"
5741,"[0, 1, 7]"
5742,"[2, 3]"
5743,[1]
5744,[1]
5745,"[0, 1]"
5746,"[2, 4, 5, 6, 7, 8]"
5747,"[0, 2]"
5748,"[2, 4, 9]"
5749,"[0, 3, 4, 7]"
5750,"[1, 2, 4, 8]"
5751,"[0, 1, 6]"
5752,[2]
5753,"[1, 9]"
5754,"[0, 1, 3]"
5755,"[1, 2, 8]"
5756,"[0, 1, 5]"
5757,"[0, 1, 2, 8]"
5758,"[5, 7]"
5759,"[0, 1, 3, 5]"
5760,"[0, 2, 3, 4, 5]"
5761,[1]
5762,"[1, 7]"
5763,"[0, 1, 7]"
5764,"[1, 7]"
5765,"[0, 1, 2, 3]"
5766,"[4, 5, 6]"
5767,"[0, 1, 2, 3]"
5768,"[1, 2, 4, 7]"
5769,"[5, 7]"
5770,"[0, 2]"
5771,"[1, 5, 6]"
5772,"[0, 1, 6]"
5773,"[1, 3]"
5774,"[1, 2, 6]"
5775,"[0, 1, 3, 4, 5]"
5776,"[0, 2]"
5777,"[5, 9]"
5778,"[5, 7, 9]"
5779,"[0, 2]"
5780,"[0, 1, 9]"
5781,"[2, 4, 5]"
5782,"[0, 1, 3, 4]"
5783,[1]
5784,[1]
5785,"[0, 2]"
5786,"[0, 1, 5]"
5787,"[4, 5]"
5788,[7]
5789,"[0, 2]"
5790,"[1, 2, 6]"
5791,"[1, 3, 4, 5, 8]"
5792,"[1, 3]"
5793,"[0, 1, 6]"
5794,"[0, 2]"
5795,"[0, 1, 6]"
5796,"[0, 1, 2, 8]"
5797,"[1, 2, 8, 9]"
5798,"[3, 5, 6, 7, 8]"
5799,"[1, 3, 5]"
5800,[1]
5801,"[0, 2]"
5802,"[1, 5]"
