ano_idx,exp_subspace
0,"[1, 4]"
1,"[0, 1, 2, 7, 9]"
2,"[0, 1, 3, 4]"
3,"[0, 1, 3, 6, 8]"
4,"[0, 2, 3, 5]"
5,"[0, 1, 6]"
6,"[0, 1, 4, 7]"
7,"[1, 6]"
8,"[1, 7, 8]"
9,"[1, 7, 8]"
10,"[1, 3, 6]"
11,"[1, 6, 8]"
12,"[1, 7]"
13,"[1, 4, 9]"
14,"[1, 2, 3, 7]"
15,"[0, 1, 4, 5]"
16,"[0, 1, 7]"
17,"[1, 3, 5]"
18,"[1, 4]"
19,"[1, 2, 3, 5, 7, 8, 9]"
20,"[1, 2, 3, 5, 8, 9]"
21,"[1, 7, 8]"
22,"[1, 4]"
23,"[1, 4, 6, 9]"
24,"[1, 6, 7]"
25,"[0, 1, 7]"
26,"[0, 1, 4, 6]"
27,"[0, 1, 6, 7]"
28,"[0, 1, 2, 7, 9]"
29,"[1, 7, 8]"
30,"[0, 1, 2, 3, 4, 7, 9]"
31,"[0, 1, 2, 4, 7, 9]"
32,"[1, 7, 8]"
33,"[1, 6]"
34,"[4, 5, 6, 8]"
35,"[0, 2, 3, 5]"
36,"[0, 2, 3, 5]"
37,"[0, 2, 3, 5]"
38,"[2, 3, 5, 6]"
39,"[1, 7]"
40,"[1, 7, 8]"
41,"[2, 5, 6, 7]"
42,"[1, 6]"
43,"[1, 2, 5, 6, 8]"
44,"[2, 5, 6, 7]"
45,"[0, 2, 3, 7]"
46,"[3, 4, 6, 8]"
47,"[1, 3, 8]"
48,"[0, 1, 2, 7, 8]"
49,"[2, 6, 8, 9]"
50,"[0, 2, 4, 9]"
51,"[0, 2, 9]"
52,"[0, 2, 3, 5]"
53,"[0, 1, 2, 4]"
54,"[0, 3, 6]"
55,"[2, 3, 7]"
56,"[0, 1, 2, 3]"
57,"[0, 4, 7]"
58,"[1, 2, 3, 6, 8]"
59,"[0, 1, 2, 6, 7, 8, 9]"
60,"[1, 4, 6]"
