ano_idx,exp_subspace
0,[1]
1,[7]
2,[3]
3,[3]
4,[3]
5,[8]
6,"[0, 1, 2, 4]"
7,[6]
8,"[0, 1, 7, 8]"
9,[1]
10,"[1, 2, 4, 6]"
11,[1]
12,[1]
13,"[1, 4]"
14,"[2, 3, 5, 7]"
15,"[0, 1, 4, 6]"
16,[1]
17,[3]
18,"[1, 8, 9]"
19,[8]
20,[2]
21,[1]
22,[1]
23,[1]
24,[9]
25,[7]
26,[1]
27,[6]
28,"[1, 2, 3, 9]"
29,"[1, 4, 7]"
30,"[2, 3, 4]"
31,[4]
32,[1]
33,"[1, 9]"
34,"[0, 4, 5, 8]"
35,"[0, 2, 4, 5, 8, 9]"
36,"[0, 2]"
37,[0]
38,[5]
39,[7]
40,[1]
41,"[2, 5]"
42,[6]
43,[2]
44,"[2, 4, 5, 6, 7]"
45,[2]
46,[4]
47,"[3, 8]"
48,[2]
49,"[0, 2, 5, 6, 9]"
50,"[0, 2, 4, 9]"
51,[2]
52,"[2, 3, 5]"
53,[2]
54,"[3, 6]"
55,[7]
56,[1]
57,"[0, 4, 6, 7, 8]"
58,[8]
59,"[0, 1, 2, 6, 7, 8]"
60,"[1, 4, 6, 9]"
