ano_idx,exp_subspace
0,"[0, 1]"
1,"[1, 7]"
2,"[2, 3, 4]"
3,"[0, 2, 3, 5, 8]"
4,"[0, 2, 3]"
5,"[0, 1, 6, 8]"
6,"[0, 1]"
7,"[1, 6]"
8,"[1, 3, 7]"
9,"[1, 8, 9]"
10,"[1, 2, 6]"
11,"[1, 6, 8]"
12,"[1, 9]"
13,"[1, 9]"
14,"[2, 3, 7]"
15,"[1, 6]"
16,"[1, 6]"
17,"[3, 6]"
18,"[1, 8, 9]"
19,"[1, 2, 3, 5, 7, 8]"
20,"[1, 2]"
21,[1]
22,"[1, 8, 9]"
23,"[1, 8, 9]"
24,"[6, 9]"
25,"[7, 9]"
26,"[1, 4, 5]"
27,"[0, 1, 6]"
28,"[0, 1, 2, 3, 6, 7, 9]"
29,"[0, 1, 4, 6, 7, 9]"
30,"[0, 1, 3, 4, 5, 9]"
31,"[0, 2, 3, 4]"
32,"[1, 4]"
33,"[1, 9]"
34,"[0, 1, 4, 6, 8]"
35,"[0, 2, 3, 4, 5]"
36,"[0, 2]"
37,"[0, 2, 3]"
38,"[0, 1, 2, 3, 5, 6, 8]"
39,"[4, 7]"
40,"[1, 8, 9]"
41,"[2, 4, 5, 7]"
42,[6]
43,"[1, 2, 3, 6, 7, 8]"
44,"[4, 5, 6, 7]"
45,"[0, 2, 3]"
46,"[2, 3, 4, 6]"
47,"[1, 3, 4, 5, 7, 8, 9]"
48,"[1, 2, 3, 4, 7, 8]"
49,"[2, 3, 5, 6, 9]"
50,"[0, 2, 5, 8, 9]"
51,"[0, 2]"
52,"[0, 2, 3, 5]"
53,[2]
54,"[0, 3, 6, 8]"
55,"[0, 2, 3, 7]"
56,"[0, 1, 2, 3, 8]"
57,"[0, 1, 6, 7, 8]"
58,"[5, 7, 8]"
59,"[1, 2, 6, 7, 8]"
60,"[1, 2, 4, 6, 9]"
