ano_idx,exp_subspace
18,"[1, 3, 4, 10]"
38,"[0, 1, 4]"
41,"[1, 3, 9]"
45,"[0, 8]"
73,"[1, 7, 10]"
79,"[6, 9, 10]"
94,"[0, 1, 5]"
151,[2]
161,"[1, 3, 9]"
167,"[5, 9, 10]"
170,"[1, 6, 9, 10]"
199,"[1, 8, 9, 10]"
224,"[0, 1, 4, 6]"
261,"[0, 1]"
266,"[1, 7, 8]"
409,"[0, 3, 5, 8]"
459,"[7, 10]"
517,"[1, 4, 7, 10]"
573,"[0, 6, 7]"
576,"[0, 4, 6]"
600,"[0, 1, 9]"
633,"[1, 7, 10]"
647,"[1, 5, 10]"
659,"[1, 3, 4]"
690,"[1, 3, 8]"
703,"[1, 2, 5, 6]"
704,"[0, 1, 5]"
724,"[1, 3]"
813,"[4, 6, 8, 10]"
830,"[1, 4, 6, 10]"
832,"[0, 4, 5]"
833,"[0, 4, 5]"
872,"[5, 8]"
876,"[4, 6, 8, 10]"
899,"[1, 7, 10]"
927,"[1, 4, 6, 10]"
937,"[0, 1]"
1124,"[4, 5, 8, 10]"
1176,"[1, 3, 8]"
1189,"[0, 1, 9]"
1233,"[0, 1, 9]"
1235,"[0, 1, 3, 4, 6]"
1238,"[1, 7, 9]"
1239,"[1, 3, 8, 10]"
1261,"[1, 8]"
1263,"[1, 7, 9]"
1276,"[3, 4, 10]"
1293,"[1, 2]"
1299,[1]
1307,"[1, 3]"
1363,"[1, 6, 9]"
1369,"[0, 6, 9]"
1374,"[1, 3, 4]"
1423,"[3, 4, 8]"
1461,"[1, 2, 8]"
1467,"[1, 5, 10]"
1469,"[1, 5]"
1478,"[1, 3]"
1480,[8]
1482,"[4, 6]"
1484,"[1, 8]"
1505,"[1, 8]"
1521,"[9, 10]"
