ano_idx,exp_subspace
18,[3]
38,"[0, 1]"
41,"[3, 6]"
45,"[8, 10]"
73,[6]
79,[6]
94,"[0, 1]"
151,[2]
161,[9]
167,"[5, 10]"
170,"[1, 9]"
199,"[1, 5, 9, 10]"
224,[6]
261,[6]
266,"[1, 3, 5, 7, 8]"
409,"[0, 3, 5]"
459,[10]
517,"[0, 4, 10]"
573,[0]
576,[0]
600,"[1, 5, 9, 10]"
633,"[1, 7]"
647,"[0, 1, 10]"
659,[3]
690,"[1, 3]"
703,[6]
704,"[0, 1]"
724,[1]
813,[10]
830,[3]
832,"[0, 4, 5]"
833,"[0, 5]"
872,[5]
876,[10]
899,"[1, 3, 9, 10]"
927,[6]
937,[0]
1124,[0]
1176,"[0, 1, 3, 5, 10]"
1189,"[1, 9]"
1233,"[0, 1, 5, 6, 9]"
1235,[3]
1238,"[1, 3, 5, 9]"
1239,[3]
1261,"[0, 1, 10]"
1263,"[1, 5, 9]"
1276,[3]
1293,"[1, 5, 9]"
1299,[1]
1307,[3]
1363,[6]
1369,"[0, 7, 9]"
1374,[4]
1423,[3]
1461,"[0, 1, 8, 10]"
1467,"[0, 1, 10]"
1469,"[1, 6]"
1478,[3]
1480,[0]
1482,"[2, 10]"
1484,"[0, 1, 10]"
1505,"[0, 1, 8, 10]"
1521,[10]
