ano_idx,exp_subspace
18,"[3, 10]"
38,"[0, 1, 4, 6]"
41,[9]
45,"[1, 8, 10]"
73,"[1, 10]"
79,"[5, 6, 9]"
94,"[0, 1, 8]"
151,[2]
161,"[1, 2, 6, 9, 10]"
167,"[2, 10]"
170,[9]
199,"[1, 7, 9]"
224,"[1, 2, 10]"
261,"[1, 2, 10]"
266,"[2, 7]"
409,"[0, 5]"
459,"[1, 2, 10]"
517,"[4, 7, 10]"
573,"[0, 1]"
576,"[0, 2, 6]"
600,"[1, 2]"
633,"[1, 7, 10]"
647,"[1, 5, 10]"
659,"[1, 3]"
690,"[1, 8]"
703,"[2, 6]"
704,"[0, 1, 2, 5]"
724,[1]
813,[6]
830,[6]
832,"[4, 5]"
833,"[0, 4, 5]"
872,"[1, 5, 9, 10]"
876,"[1, 2]"
899,"[1, 7]"
927,"[5, 6, 8]"
937,"[0, 3]"
1124,"[5, 8]"
1176,"[1, 3, 8]"
1189,"[0, 1, 2]"
1233,"[1, 10]"
1235,"[0, 3, 8]"
1238,"[0, 1, 2, 7, 9]"
1239,"[2, 3, 8, 10]"
1261,"[1, 2, 7, 10]"
1263,"[1, 2, 9]"
1276,"[3, 6]"
1293,"[1, 2, 5, 10]"
1299,[1]
1307,"[2, 3, 10]"
1363,"[1, 2]"
1369,[9]
1374,"[1, 4, 7]"
1423,"[3, 4, 8]"
1461,"[0, 1, 6, 8]"
1467,"[1, 2]"
1469,"[1, 5]"
1478,"[1, 3, 8]"
1480,"[8, 10]"
1482,"[0, 2, 5, 10]"
1484,"[1, 5, 10]"
1505,"[0, 1, 6, 8]"
1521,"[9, 10]"
