ano_idx,exp_subspace
46,"[1, 4, 5, 8]"
98,"[0, 2, 5, 8]"
115,"[1, 2, 4, 5, 8]"
147,"[1, 4, 8]"
172,"[1, 5, 8]"
176,"[0, 6, 8, 10]"
178,"[1, 2, 4, 10]"
189,"[3, 6, 9, 10]"
204,"[0, 2, 4, 8, 9]"
207,"[0, 2]"
230,"[1, 2, 4, 8]"
250,"[8, 9]"
251,"[0, 3, 4, 6, 8]"
253,"[2, 5, 8]"
259,"[3, 5, 10]"
278,"[1, 6, 8]"
282,"[1, 6, 9]"
294,"[0, 1, 4, 10]"
433,"[1, 2, 4]"
445,"[0, 3, 6, 8, 10]"
496,"[1, 2, 5]"
499,"[1, 2, 5]"
526,"[5, 10]"
540,"[3, 6, 8, 9, 10]"
626,"[0, 1, 2, 4, 8]"
641,"[4, 6, 7, 8, 10]"
646,"[2, 4, 5, 9, 10]"
659,"[2, 5]"
662,"[1, 4, 8]"
687,"[1, 4]"
690,"[8, 9]"
702,"[1, 2]"
740,"[4, 6, 8, 10]"
780,"[1, 2, 5, 8]"
831,"[6, 9, 10]"
873,"[0, 6, 8]"
905,"[0, 2, 4, 5, 9]"
906,"[0, 2, 4, 5, 9]"
908,"[0, 4, 7, 8]"
914,"[0, 1, 4, 5, 8]"
948,"[1, 6, 8]"
991,"[0, 2, 5, 9]"
993,"[2, 5, 8]"
1027,"[0, 1, 2, 6, 9]"
1029,"[1, 6]"
1034,"[1, 2, 4, 6]"
1040,"[1, 5, 9]"
1042,[1]
1053,"[0, 2, 4, 9]"
1059,"[0, 2, 4, 5, 8, 10]"
1109,"[0, 4]"
1114,"[1, 6, 8]"
1152,"[1, 2]"
1154,"[0, 6, 8, 10]"
1155,"[0, 6, 8]"
1229,"[0, 10]"
1245,"[1, 2, 6, 9]"
1293,"[1, 5, 9]"
1294,"[1, 5, 9]"
1349,"[0, 3, 6, 8, 9]"
1363,"[1, 2, 4, 5]"
1405,"[1, 4, 5, 9]"
1417,"[1, 6]"
1420,"[0, 2, 7]"
1423,"[0, 2, 4, 6]"
1430,"[1, 5, 9]"
1474,"[4, 6, 8]"
1483,"[4, 6, 8]"
1484,"[0, 4, 5, 10]"
1541,"[1, 6, 9]"
1558,"[1, 2, 5, 9]"
1559,"[0, 2, 6, 8, 9]"
1574,"[0, 2, 4, 8, 9]"
1577,"[1, 2]"
1579,"[2, 4, 5, 6, 7, 9, 10]"
1649,"[2, 8]"
1652,"[0, 2, 3]"
1664,"[0, 4, 7]"
1688,"[5, 8, 10]"
1690,"[0, 1, 4, 5]"
1702,"[5, 10]"
1708,"[1, 8]"
1718,"[0, 10]"
1739,"[0, 3, 5, 8, 10]"
1781,"[4, 6, 8]"
1817,"[1, 2, 5]"
1856,"[0, 1, 4]"
1924,"[0, 2, 4, 5, 9]"
1931,"[1, 5]"
1951,"[0, 1]"
1990,"[1, 5, 8]"
2050,"[0, 7]"
2079,"[1, 8]"
2116,"[3, 6, 9, 10]"
2119,"[0, 2, 4, 5, 9]"
2154,"[0, 1, 2, 4]"
2156,"[0, 5, 9, 10]"
2159,"[2, 4, 5, 6, 7, 8, 9, 10]"
2225,"[0, 3, 4]"
2237,"[3, 4, 6]"
2246,"[3, 4, 6]"
2275,"[3, 4, 6]"
2318,"[0, 2, 5, 7, 10]"
2337,"[2, 4, 5, 9, 10]"
2346,"[0, 2, 5, 7, 10]"
2372,"[2, 5, 8, 10]"
2373,"[1, 2, 5]"
2379,"[4, 8, 9]"
2380,"[4, 8, 9]"
2386,"[4, 6, 8]"
2387,"[4, 6, 8]"
2388,"[0, 3, 5, 10]"
2400,"[0, 2, 5, 9]"
