ano_idx,exp_subspace
46,[5]
98,[0]
115,"[2, 8]"
147,"[1, 2, 5]"
172,"[1, 5]"
176,[6]
178,"[1, 2, 5]"
189,[6]
204,[0]
207,"[0, 2]"
230,"[1, 2, 5, 6]"
250,[8]
251,"[0, 3]"
253,"[0, 5, 8]"
259,"[0, 6]"
278,[6]
282,[6]
294,[10]
433,"[1, 2, 3, 4, 5, 10]"
445,[6]
496,"[5, 10]"
499,"[5, 10]"
526,[6]
540,"[3, 5]"
626,"[1, 2, 3, 4, 5, 10]"
641,[6]
646,"[2, 5]"
659,[5]
662,"[1, 2, 3, 4, 5, 6, 10]"
687,"[1, 4]"
690,"[5, 9]"
702,[6]
740,[6]
780,"[2, 5]"
831,"[1, 6, 8]"
873,"[0, 6]"
905,[0]
906,"[0, 6]"
908,"[0, 3, 5]"
914,"[0, 6]"
948,"[1, 5, 6]"
991,"[0, 6]"
993,[6]
1027,"[1, 3, 5, 6, 9]"
1029,[6]
1034,"[4, 9]"
1040,"[1, 5]"
1042,"[1, 5]"
1053,[0]
1059,"[0, 4, 10]"
1109,[0]
1114,[6]
1152,"[1, 2, 5, 6]"
1154,"[1, 6, 8]"
1155,"[5, 8]"
1229,[0]
1245,"[0, 1, 2, 3, 5]"
1293,"[5, 9]"
1294,"[5, 9]"
1349,[0]
1363,"[2, 5]"
1405,"[1, 5]"
1417,[6]
1420,[0]
1423,[6]
1430,"[1, 5]"
1474,[6]
1483,[6]
1484,[0]
1541,"[1, 5, 6]"
1558,"[1, 5]"
1559,"[0, 6]"
1574,"[0, 3, 5]"
1577,"[1, 5]"
1579,[6]
1649,[8]
1652,[0]
1664,"[0, 3]"
1688,[5]
1690,[0]
1702,[10]
1708,"[1, 5]"
1718,[0]
1739,"[0, 6]"
1781,"[5, 6, 8]"
1817,"[1, 2]"
1856,"[0, 1]"
1924,[0]
1931,[5]
1951,[1]
1990,"[1, 5]"
2050,[0]
2079,"[1, 5]"
2116,[6]
2119,[0]
2154,"[0, 1, 3]"
2156,[6]
2159,[6]
2225,[3]
2237,[3]
2246,[3]
2275,[3]
2318,"[2, 3]"
2337,[5]
2346,"[2, 3]"
2372,[6]
2373,[6]
2379,"[4, 5, 6, 8]"
2380,"[4, 5, 6, 8]"
2386,[6]
2387,[6]
2388,[10]
2400,[0]
2401,[0]
2409,"[5, 9]"
2412,"[4, 6, 7, 9]"
2413,"[5, 9]"
2414,"[3, 4, 5, 6, 7, 8, 9, 10]"
2435,[6]
2493,"[3, 5]"
2494,"[3, 5]"
2502,[0]
2503,[0]
2531,"[1, 5]"
2532,"[1, 5]"
2589,"[1, 2, 5, 6]"
2656,[5]
2818,[5]
2888,[6]
2920,[6]
2935,"[5, 6, 9]"
3021,[6]
3050,[5]
3067,[6]
3087,[6]
3109,[6]
3179,[0]
3186,"[0, 6]"
3218,"[4, 5, 10]"
3265,"[0, 5, 6, 10]"
3275,[2]
3307,[5]
3409,"[2, 5, 8, 10]"
3417,"[1, 5, 6]"
3528,[6]
3559,[6]
3571,[6]
3578,[10]
3650,"[2, 8]"
3662,"[1, 2, 5, 6]"
3714,[8]
3736,"[3, 5, 6, 9, 10]"
3770,[10]
3810,[3]
3872,"[5, 10]"
3879,"[1, 5, 6]"
3901,"[0, 6]"
3933,"[0, 6]"
3965,[10]
3967,[6]
3973,[6]
4020,[10]
4039,[1]
4074,[6]
4212,[6]
4213,"[2, 4, 5, 6, 10]"
4217,"[2, 5]"
4222,"[2, 5]"
4223,[6]
4253,"[0, 2, 5, 6, 10]"
4278,[6]
4389,"[3, 5]"
4483,[0]
4508,[5]
4609,[6]
4680,"[1, 2, 5]"
4686,"[1, 2, 5]"
4745,[5]
4774,[10]
4779,"[1, 2, 5, 6]"
4804,[6]
4839,[6]
4878,"[1, 2, 5, 6]"
