ano_idx,exp_subspace
46,"[1, 5]"
98,"[0, 3]"
115,"[2, 5, 8]"
147,"[1, 8]"
172,"[1, 5, 8]"
176,"[0, 2, 6, 10]"
178,"[1, 2, 5]"
189,"[6, 10]"
204,"[0, 10]"
207,"[0, 2]"
230,"[1, 2]"
250,"[7, 8]"
251,"[0, 3]"
253,"[5, 8, 10]"
259,[5]
278,[6]
282,"[1, 5, 6, 9]"
294,"[0, 1, 10]"
433,"[1, 4, 5]"
445,"[3, 6]"
496,"[2, 5]"
499,"[2, 5]"
526,[6]
540,"[3, 5, 6, 8]"
626,"[0, 1, 2, 4, 10]"
641,"[0, 3]"
646,"[2, 5]"
659,"[2, 5]"
662,"[1, 2, 4, 6]"
687,"[1, 4]"
690,"[6, 9]"
702,[2]
740,[6]
780,"[2, 5, 6, 8]"
831,"[3, 8, 9, 10]"
873,"[0, 6]"
905,"[0, 2, 5]"
906,"[0, 2, 5]"
908,"[0, 3, 7, 8]"
914,"[0, 5, 6, 10]"
948,"[1, 6, 8]"
991,"[0, 2, 6, 9]"
993,"[2, 5, 6]"
1027,"[1, 6, 9]"
1029,"[1, 6]"
1034,"[0, 4, 6]"
1040,"[1, 6, 9]"
1042,[1]
1053,"[0, 7]"
1059,"[0, 4, 10]"
1109,"[0, 7]"
1114,[6]
1152,[2]
1154,"[0, 8, 10]"
1155,"[0, 8]"
1229,"[0, 10]"
1245,"[1, 2, 3, 6]"
1293,[9]
1294,[9]
1349,"[0, 6, 8, 9]"
1363,"[2, 5]"
1405,"[4, 5, 9]"
1417,"[6, 7, 8]"
1420,"[0, 3]"
1423,"[0, 2, 6, 9]"
1430,"[3, 5, 9]"
1474,"[6, 10]"
1483,"[6, 10]"
1484,"[5, 10]"
1541,"[1, 6, 9, 10]"
1558,"[1, 2, 5, 10]"
1559,"[0, 2, 6]"
1574,"[3, 8]"
1577,"[1, 8]"
1579,"[2, 3, 4, 6, 7, 8, 9]"
1649,"[7, 8]"
1652,"[0, 2, 3, 9]"
1664,"[0, 3, 7, 8]"
1688,[5]
1690,"[0, 1, 5]"
1702,"[5, 10]"
1708,"[1, 8]"
1718,"[0, 7]"
1739,"[0, 5, 6, 8]"
1781,"[3, 6, 8]"
1817,[2]
1856,"[0, 1]"
1924,[5]
1931,"[1, 5, 6]"
1951,"[0, 1]"
1990,[5]
2050,"[0, 7]"
2079,"[1, 8]"
2116,"[6, 7, 8, 9]"
2119,"[0, 1, 5, 8]"
2154,"[0, 1]"
2156,"[3, 5, 9]"
2159,"[5, 6, 7, 9, 10]"
2225,"[0, 3, 4]"
2237,"[0, 2, 3, 4, 7]"
2246,"[0, 2, 3, 4, 7]"
2275,"[0, 3, 4, 10]"
2318,[2]
2337,[4]
2346,[2]
2372,[5]
2373,"[1, 5, 6, 8]"
2379,"[4, 5, 8]"
2380,"[4, 8, 9]"
2386,"[3, 6]"
2387,"[3, 6]"
2388,[5]
2400,"[0, 7]"
2401,"[0, 7]"
2409,"[8, 9]"
2412,"[0, 3, 4, 7, 8, 9]"
2413,"[8, 9]"
2414,"[0, 3, 4, 7, 8, 9]"
2435,"[5, 6]"
2493,"[2, 3, 5, 7]"
2494,"[2, 3, 5, 7]"
2502,"[0, 2, 5]"
2503,"[0, 2, 5]"
2531,"[1, 5]"
2532,"[1, 5]"
2589,"[1, 2]"
2656,"[6, 9]"
2818,"[1, 5, 8]"
2888,[6]
2920,"[3, 5]"
2935,[5]
3021,[5]
3050,"[3, 5, 6, 8, 10]"
3067,[2]
3087,"[0, 6]"
3109,"[6, 8]"
3179,"[0, 9]"
3186,"[0, 2, 6]"
3218,[4]
3265,"[0, 10]"
3275,[2]
3307,"[0, 5]"
3409,[3]
3417,"[1, 6]"
3528,"[1, 3, 6, 9]"
3559,[6]
3571,"[1, 2, 6]"
3578,[5]
3650,"[2, 5]"
3662,"[1, 6, 8]"
3714,[8]
3736,"[3, 6, 9, 10]"
3770,[4]
3810,"[3, 10]"
3872,[10]
3879,"[1, 5, 6, 9]"
3901,"[1, 2, 4, 5, 10]"
3933,"[0, 2, 6]"
3965,[1]
3967,[2]
3973,[2]
4020,[10]
4039,[1]
4074,"[2, 3, 5, 6]"
4212,"[5, 7, 10]"
4213,"[2, 4, 5, 6]"
4217,"[2, 9]"
4222,"[2, 9]"
4223,"[0, 1, 2, 5, 6, 7, 8]"
4253,"[0, 1, 2, 5, 8]"
4278,"[6, 10]"
4389,[9]
4483,"[2, 5]"
4508,"[5, 10]"
4609,"[1, 2, 6]"
4680,"[1, 2]"
4686,"[1, 2]"
4745,[5]
4774,[5]
4779,[2]
4804,"[2, 5, 6, 7, 10]"
4839,"[6, 8]"
4878,"[2, 5]"
